Nr;Program;GNU;ToyBox;BusyBox
1;base64;195272;18664;18760
2;basename;166328;18632;14600
3;cat;189048;18664;18776
4;chmod;290464;22792;18768
5;cksum;626360;18664;18728
6;comm;194800;18632;18728
7;cp;680256;31208;23008
8;cut;204480;22824;18792
9;date;452320;26952;18840
10;df;440016;26952;18760
11;dirname;164648;18632;14528
12;du;468824;22792;18752
13;echo;163824;18632;14592
14;expand;182448;18664;18752
15;factor;353648;18632;14600
16;false;154552;14440;14504
17;head;216208;18632;14656
18;id;206792;18696;18784
19;link;163912;18600;14608
20;ln;323440;22824;18768
21;logname;163432;18696;14592
22;ls;636696;31176;31240
23;md5sum;217832;23432;18768
24;mkdir;420592;18632;18736
25;mv;687760;31240;27112
26;sort;518424;22792;18824
27;touch;405160;18696;18816
28;true;154544;14472;14504
29;wc;258592;18664;18736
