Program;Utilities;PSYS;Size
cat;BusyBox;294316.8;18776
cat;GNU;299974.7;189048
cat;ToyBox;328942;18664
cp;BusyBox;130912305.3;23008
cp;GNU;130881403.2;680256
cp;ToyBox;130317549.8;31208
cut;BusyBox;5142131.8;18792
cut;GNU;2253961.6;204480
cut;ToyBox;11826001.1;22824
du;BusyBox;330046.7;18752
du;GNU;332475.6;468824
du;ToyBox;345067.6;22792
ls;BusyBox;327409.9;31240
ls;GNU;339647.3;636696
ls;ToyBox;333959.3;31176
mv;BusyBox;21364428.7;27112
mv;GNU;20698353.9;687760
mv;ToyBox;20948713.7;31240
sort;BusyBox;22952907.6;18824
sort;GNU;6721058.2;518424
sort;ToyBox;33815739.8;22792
touch;BusyBox;285253;18816
touch;GNU;281841.4;405160
touch;ToyBox;279033.7;18696
wc;BusyBox;285399.6;18736
wc;GNU;285588.8;258592
wc;ToyBox;281603.3;18664
